galaxy,n_halo_pts,chi2_phi_core,chi2_ISO,chi2_NFW_c10,chi2_NFW_cfree,hp_ratio,hp_pull
D512-2,4,0.08965,0.154833,0.399882,0.799764,0.677519,-0.397
D564-8,6,0.061808,0.091174,1.342198,1.794509,0.70097,-0.0952
D631-7,15,1.313765,1.393955,8.728623,9.453886,0.642724,-1.3694
DDO064,14,0.422667,0.443304,0.709319,0.783854,0.760609,0.5922
DDO154,12,1.484638,2.951394,15.124697,16.805219,0.69835,-1.211
DDO161,31,0.592358,0.658625,2.057843,2.131338,0.722225,0.9042
DDO168,10,6.437857,6.770824,19.836993,22.68965,0.640154,-1.9377
DDO170,8,1.673938,1.719039,2.851163,3.421395,0.701855,-0.2201
ESO079-G014,15,1.728169,2.31342,6.613564,7.164695,0.754656,1.7345
ESO116-G012,15,1.483748,1.60655,3.398589,3.70569,0.672404,-1.2594
ESO444-G084,7,2.37314,1.357109,0.776513,0.970642,0.701757,-0.0805
ESO563-G021,27,12.830183,16.295371,28.352591,29.533949,0.781969,5.557
F561-1,6,1.273959,1.414939,1.204529,1.606039,,
F563-1,17,0.562667,0.654741,1.246826,1.335885,0.800401,0.8938
F563-V1,6,0.856701,0.929468,0.867992,1.157322,0.563876,-0.4333
F563-V2,10,0.202598,0.331439,1.373018,1.569164,0.769604,0.4414
F565-V2,7,0.049602,0.070902,0.432837,0.541311,0.728696,0.2748
F567-2,5,0.599213,0.745381,0.837981,1.153514,0.603375,-0.6374
F568-1,12,0.079451,0.148833,0.959798,1.108721,0.737814,0.3886
F568-3,18,1.184312,1.369258,4.299026,4.600117,0.737149,0.2111
F568-V1,15,0.085424,0.161246,0.245387,0.267533,0.704542,-0.0435
F571-8,9,2.967561,3.467995,6.837012,7.976514,0.723782,0.6859
F571-V1,7,0.036701,0.092109,0.417743,0.522178,0.711049,0.0409
F574-1,14,0.124169,0.363782,2.074004,2.26255,0.734228,0.574
F574-2,4,0.111467,0.111627,0.113354,0.049618,,
F579-V1,14,0.018223,0.055392,0.213636,0.230592,0.650595,-0.5978
F583-1,25,0.251289,0.438351,1.884855,2.04291,0.716456,0.2149
F583-4,12,0.530783,0.379498,0.196395,0.218216,0.621636,-0.6647
